"id","priority","phase","area","title","description","acceptance_criteria","test_mcp","review_initial_requirements","review_regression_requirements","dev_state","review_initial_state","review_regression_state","git_state","owner","refs","notes"
"MK-01-01","P0","1. Data And State","types-service","Add MarketItem model and services","Add MarketItem types, storage key, service helpers, and backend state collection.","marketplace-model","npm run typecheck; state smoke","Market model includes payload, metadata, safety notes, downloads, rating, and timestamps.","Existing asset and capability pack state remain compatible.","已完成","已完成","已完成","已提交","codex","types.ts; services/marketplace.ts; services/storage.ts; backend/server.mjs","change:add-marketplace-local; validation:openspec strict passed; typecheck passed; build passed with vite chunk-size warning; state smoke passed"
"MK-01-02","P0","1. Data And State","hooks","Add useMarketplace hook","Add useMarketplace persistence hook.","marketplace-model; marketplace-local-degraded","npm run typecheck","Market items persist through backend state/local fallback.","useBackendState remains compatible.","已完成","已完成","已完成","已提交","codex","hooks/useMarketplace.ts","change:add-marketplace-local; validation:openspec strict passed; typecheck passed; build passed with vite chunk-size warning; state smoke passed"
"MK-02-01","P0","2. Market UI","navigation","Add market route and shell","Add market navigation, route, and local mode page shell.","marketplace-navigation; marketplace-local-degraded","npm run typecheck","Navigation opens market; #market hash resolves.","Existing nav routes still work.","已完成","已完成","已完成","已提交","codex","components/layout/AppShell.tsx; App.tsx; components/marketplace/MarketplaceView.tsx","change:add-marketplace-local; validation:openspec strict passed; typecheck passed; build passed with vite chunk-size warning; state smoke passed"
"MK-02-02","P0","2. Market UI","browse-detail","Add market browse filters and detail","Add market list, filters, empty state, and detail inspector.","marketplace-browse-filter; marketplace-detail","npm run typecheck","Filters and detail metadata render correctly.","Assets/packs pages unaffected.","已完成","已完成","已完成","已提交","codex","components/marketplace/MarketplaceView.tsx","change:add-marketplace-local; validation:openspec strict passed; typecheck passed; build passed with vite chunk-size warning; state smoke passed"
"MK-03-01","P0","3. Publish Flow","publish-asset","Add asset publish with safety scan","Add local asset publish flow with safety scan.","marketplace-publish-asset; marketplace-runtime-safety","npm run typecheck","Asset snapshot item saves with safety notes.","No secrets are silently published.","已完成","已完成","已完成","已提交","codex","services/marketplace.ts; components/marketplace/MarketplaceView.tsx","change:add-marketplace-local; validation:openspec strict passed; typecheck passed; build passed with vite chunk-size warning; state smoke passed"
"MK-03-02","P0","3. Publish Flow","publish-pack","Add pack publish with snapshots","Add capability pack publish flow with related asset snapshots and missing asset notes.","marketplace-publish-pack","npm run typecheck","Pack snapshot item saves with included assets/missing notes.","Capability pack local state unaffected.","已完成","已完成","已完成","已提交","codex","services/marketplace.ts; components/marketplace/MarketplaceView.tsx","change:add-marketplace-local; validation:openspec strict passed; typecheck passed; build passed with vite chunk-size warning; state smoke passed"
"MK-04-01","P0","4. Install Flow","install-asset","Add asset install flow","Add asset install flow with safe status normalization and download count updates.","marketplace-install-asset; marketplace-runtime-safety","npm run typecheck","Installed asset source=market and tooling stays context_only.","Asset library merge still works.","已完成","已完成","已完成","已提交","codex","services/marketplace.ts; App.tsx; components/marketplace/MarketplaceView.tsx","change:add-marketplace-local; validation:openspec strict passed; typecheck passed; build passed with vite chunk-size warning; state smoke passed"
"MK-04-02","P0","4. Install Flow","install-pack","Add pack install flow","Add capability pack install flow with related asset import.","marketplace-install-pack","npm run typecheck","Installed pack source=market and related assets sync.","Capability pack one-click still works.","已完成","已完成","已完成","已提交","codex","services/marketplace.ts; App.tsx; components/marketplace/MarketplaceView.tsx","change:add-marketplace-local; validation:openspec strict passed; typecheck passed; build passed with vite chunk-size warning; state smoke passed"
"MK-04-03","P0","4. Install Flow","conflicts","Add conflict strategies","Add conflict strategy handling for overwrite, duplicate, and skip.","marketplace-conflict-policy","npm run typecheck","Overwrite/duplicate/skip produce explicit install results.","Existing local assets are not silently overwritten.","已完成","已完成","已完成","已提交","codex","services/marketplace.ts; components/marketplace/MarketplaceView.tsx","change:add-marketplace-local; validation:openspec strict passed; typecheck passed; build passed with vite chunk-size warning; state smoke passed"
"MK-05-01","P1","5. Import Export And Validation","import-export","Add market JSON import export","Add market JSON import/export.","marketplace-model","npm run build","Market items can be exported/imported as JSON.","Library/packs import remains separate.","已完成","已完成","已完成","已提交","codex","components/marketplace/MarketplaceView.tsx; services/marketplace.ts","change:add-marketplace-local; validation:openspec strict passed; typecheck passed; build passed with vite chunk-size warning; state smoke passed"
"MK-05-02","P0","5. Import Export And Validation","validation","Run final market validation","Run OpenSpec validate, typecheck, build, state smoke, and update CSV.","All add-marketplace-local specs validated.","openspec validate; npm run typecheck; npm run build; state smoke","CSV complete and committed.","Previous changes stay valid.","已完成","已完成","已完成","已提交","codex","openspec/changes/add-marketplace-local; issues CSV","change:add-marketplace-local; validation:openspec strict passed; typecheck passed; build passed with vite chunk-size warning; state smoke passed"
