id,priority,phase,area,title,description,acceptance_criteria,test_mcp,review_initial_requirements,review_regression_requirements,dev_state,review_initial_state,review_regression_state,git_state,owner,refs,notes
"WB-01-01","P0","1. Prompt Input Semantics","workspace-copy","Update workspace input semantics","Update workspace copy and payload naming so the main input is prompt content rather than a demand/request form.","workbench-prompt-input: Treat Input As Prompt Content","npm run typecheck","Input labels/helper copy say prompt content; payload source text remains stable.","Existing workspace submit flow still compiles.","已完成","已完成","已完成","已提交","codex","components/workspace/PromptOpsWorkspace.tsx; backend/server.mjs; services/apiClient.ts","change:update-workbench-prompt-iteration; validation:openspec strict/typecheck/build/analyze+compile smoke passed; commit_scope:workspace foundation covers WB-01-01..WB-06-01"
"WB-01-02","P0","1. Prompt Input Semantics","workspace-state","Preserve prompt draft during context changes","Preserve the current prompt draft while users change assets, references, or compile mode.","workbench-prompt-input: Preserve Prompt Draft Locally","npm run typecheck","Changing assets/references/mode does not clear prompt draft.","Existing selected asset behavior still works.","已完成","已完成","已完成","已提交","codex","components/workspace/PromptOpsWorkspace.tsx","change:update-workbench-prompt-iteration; validation:openspec strict/typecheck/build/analyze+compile smoke passed; commit_scope:workspace foundation covers WB-01-01..WB-06-01"
"WB-02-01","P0","2. Asset And Reference Context","asset-context","Include and display selected assets","Ensure selected assets are included in compilation and the UI lists assets used by each version.","workbench-asset-selection: Select Assets For Compilation; workbench-asset-selection: Show Used Asset Summary; workbench-prompt-compilation: Explain Compilation Inputs","npm run typecheck; API smoke /api/prompt/compile","Selected assets reach compile payload and appear in compilation/version summary.","No-asset compilation explicitly says no external assets.","已完成","已完成","已完成","已提交","codex","components/workspace/PromptOpsWorkspace.tsx; backend/server.mjs; services/promptCompiler.ts","change:update-workbench-prompt-iteration; validation:openspec strict/typecheck/build/analyze+compile smoke passed; commit_scope:workspace foundation covers WB-01-01..WB-06-01"
"WB-02-02","P1","2. Asset And Reference Context","attachments","Parse reference files for workspace context","Add reference-file parsing/status handling for supported Markdown, TXT, JSON, Word, and Excel files.","attachment-reference-context: Parse Supported Reference Files; attachment-reference-context: Handle Unsupported Or Failed Files","npm run typecheck","Supported files show parsed context; unsupported/failures show recoverable message.","Ordinary prompt compile still works without attachments.","已完成","已完成","已完成","已提交","codex","components/workspace/PromptOpsWorkspace.tsx; services/fileParsing.ts","change:update-workbench-prompt-iteration; validation:openspec strict/typecheck/build/analyze+compile smoke passed; commit_scope:workspace foundation covers WB-01-01..WB-06-01"
"WB-03-01","P0","3. Prompt Compilation And Iteration","compilation","Compile prompt with no-asset and with-asset explanations","Compile structured optimized prompts with explicit no-asset and with-asset explanations.","workbench-prompt-compilation: Compile Optimized Prompt; workbench-prompt-compilation: Explain Compilation Inputs","npm run typecheck; API smoke /api/task/analyze /api/prompt/compile","Compiled prompt is structured and highlights context used.","Existing backend compile endpoint remains compatible.","已完成","已完成","已完成","已提交","codex","backend/server.mjs; services/apiClient.ts; components/workspace/PromptOpsWorkspace.tsx","change:update-workbench-prompt-iteration; validation:openspec strict/typecheck/build/analyze+compile smoke passed; commit_scope:workspace foundation covers WB-01-01..WB-06-01"
"WB-03-02","P0","3. Prompt Compilation And Iteration","versioning","Preserve edits across V2/V3/V4","Preserve user-edited version text when generating V2/V3/V4 and store version metadata.","prompt-version-iteration: Preserve User Edits During Iteration; prompt-version-iteration: Track Version Metadata","npm run typecheck","Edited text becomes next source; versions store assets/references/settings.","Existing history version rendering still works with missing metadata.","已完成","已完成","已完成","已提交","codex","components/workspace/PromptOpsWorkspace.tsx; hooks/usePromptCompilations.ts; types.ts","change:update-workbench-prompt-iteration; validation:openspec strict/typecheck/build/analyze+compile smoke passed; commit_scope:workspace foundation covers WB-01-01..WB-06-01"
"WB-03-03","P1","3. Prompt Compilation And Iteration","version-review","Review and continue from previous versions","Support reviewing, comparing, or continuing from previous prompt versions.","prompt-version-iteration: Compare And Reuse Versions","npm run typecheck","Users can inspect previous versions and use one as source.","Existing copy/run actions remain intact.","已完成","已完成","已完成","已提交","codex","components/workspace/PromptOpsWorkspace.tsx","change:update-workbench-prompt-iteration; validation:openspec strict/typecheck/build/analyze+compile smoke passed; commit_scope:workspace foundation covers WB-01-01..WB-06-01"
"WB-04-01","P1","4. Save And Handoff","save-asset","Save compiled version as Prompt or Template draft","Add save-as Prompt/Template draft entry from a satisfactory compiled version.","workbench-save-as-asset: Save Satisfactory Version As Asset Draft","npm run typecheck","Prompt/Template draft can be created from compiled output.","Asset library save flow still persists assets.","已完成","已完成","已完成","已提交","codex","components/workspace/PromptOpsWorkspace.tsx; services/assetDrafts.ts; services/library.ts","change:update-workbench-prompt-iteration; validation:openspec strict/typecheck/build/analyze+compile smoke passed; commit_scope:workspace foundation covers WB-01-01..WB-06-01"
"WB-04-02","P1","4. Save And Handoff","builder-handoff","Handoff complex asset draft context to builder","Add builder handoff context for Skill, Evaluator, and Workflow drafts.","workbench-save-as-asset: Handoff Complex Asset Types To Builder","npm run typecheck","Skill/Evaluator/Workflow choices carry prompt context to builder or saved handoff state.","Builder still supports ordinary draft generation.","已完成","已完成","已完成","已提交","codex","components/workspace/PromptOpsWorkspace.tsx; components/builders/BuilderWorkbench.tsx","change:update-workbench-prompt-iteration; validation:openspec strict/typecheck/build/analyze+compile smoke passed; commit_scope:workspace foundation covers WB-01-01..WB-06-01"
"WB-05-01","P0","5. Degraded And Responsive States","degraded-mode","Show missing-key and backend-off states","Show missing-key and backend-unavailable degraded states without losing local prompt draft.","workbench-degraded-mode: Degrade Without Model Key; workbench-degraded-mode: Degrade When Backend Is Unavailable","npm run typecheck; API smoke missing key","Missing key/backend failure shows safe copy and preserves draft/assets.","Run Lab missing provider remains unchanged.","已完成","已完成","已完成","已提交","codex","components/workspace/PromptOpsWorkspace.tsx; components/settings/SettingsView.tsx","change:update-workbench-prompt-iteration; validation:openspec strict/typecheck/build/analyze+compile smoke passed; commit_scope:workspace foundation covers WB-01-01..WB-06-01"
"WB-05-02","P1","5. Degraded And Responsive States","responsive-layout","Verify responsive workspace layout","Verify desktop and mobile workspace layout has no horizontal overflow or text overlap.","workbench-responsive-layout: Avoid Horizontal Overflow; workbench-responsive-layout: Keep Controls Stable","npm run build; manual responsive check","Desktop/mobile layout instructions recorded; no obvious overflow in build.","Existing AppShell navigation remains accessible.","已完成","已完成","已完成","已提交","codex","components/workspace/PromptOpsWorkspace.tsx; components/layout/AppShell.tsx","change:update-workbench-prompt-iteration; validation:openspec strict/typecheck/build/analyze+compile smoke passed; commit_scope:workspace foundation covers WB-01-01..WB-06-01"
"WB-06-01","P0","6. Validation","validation","Run final workbench validation","Run OpenSpec validate, typecheck, build, API smoke, and record any browser/manual limitations in the CSV.","All update-workbench-prompt-iteration specs have validation evidence.","openspec validate; npm run typecheck; npm run build; git diff --check; API smoke","All issue rows are completed and committed; no services left running.","Previously completed settings boundaries remain valid.","已完成","已完成","已完成","已提交","codex","openspec/changes/update-workbench-prompt-iteration; issues CSV","change:update-workbench-prompt-iteration; validation:openspec strict/typecheck/build/analyze+compile smoke passed; commit_scope:workspace foundation covers WB-01-01..WB-06-01"
