id,priority,phase,area,title,description,acceptance_criteria,test_mcp,review_initial_requirements,review_regression_requirements,dev_state,review_initial_state,review_regression_state,git_state,owner,refs,notes
"SET-01-01","P0","1. Capability Data Contract","types","Extend structured capability check types","Extend types.ts with structured provider/state/market/imports/tooling/execution gate sections. Keep existing CapabilityCheck fields compatible so older payloads still render.","capability-check-api: Return Structured Capability Payload; capability-check-api: Preserve Backward Compatibility; capability-status-taxonomy: Map Unknown Status To Safe Status","npm run typecheck","Verify new fields are optional or safely defaulted; verify CapabilityStatus taxonomy is reused; verify no secret values are represented in types.","Existing getCapabilityCheck callers still compile; Settings can render old payload shape.","已完成","已完成","已完成","已提交","codex","types.ts; services/apiClient.ts","change:update-settings-boundaries; design decision: compatibility fallbacks; validation:npm run typecheck passed; review:CapabilityCheck keeps old fields and adds optional safe sections; commit:0ef9c14(amended)"
"SET-01-02","P0","1. Capability Data Contract","backend-api","Return extended capability check payload","Update backend/server.mjs buildCapabilityCheck and /api/capabilities/check to include model, backend, state, market, imports, tooling, and execution boundaries with safe defaults.","capability-check-api: Return Structured Capability Payload; capability-check-api: Detect Model Provider Configuration; capability-check-api: Return Safe Defaults For Tooling","curl /api/capabilities/check; npm run typecheck","Verify missing GEMINI_API_KEY returns non-executable compile-preview message; verify tooling defaults are context_only; verify GET and POST work.","GET /api/health and existing capability assets fields still work.","已完成","已完成","已完成","已提交","codex","backend/server.mjs; services/apiClient.ts","change:update-settings-boundaries; validation:npm run typecheck passed; smoke:GET/POST /api/capabilities/check returned market/imports/tooling/execution; smoke:/api/health passed"
"SET-02-01","P1","2. Environment And Secret Boundaries","config","Rewrite env example with Chinese guidance","Rewrite .env.example with Chinese comments that explain purpose, acquisition method, required/optional status, and default behavior for each runtime variable.","environment-config-reference: Document Env Variables In Chinese; environment-config-reference: Keep Secrets Out Of Source; environment-config-reference: Show Env Summary In Settings","git diff --check","Verify no real keys are included; verify required/optional wording is explicit; verify values remain placeholders/defaults.","Existing local env loading still uses GEMINI_API_KEY, API_PORT, VITE_API_BASE_URL.","已完成","已完成","已完成","已提交","codex",".env.example; components/settings/SettingsView.tsx","change:update-settings-boundaries; do_not_stage:.env.local; validation:git diff --check passed; secret_scan:no real key pattern matched; env_example:Chinese purpose/acquisition/requiredness added"
"SET-02-02","P1","2. Environment And Secret Boundaries","git-hygiene","Ignore generated local OpenSpec Codex files","Update ignore rules and verify commit hygiene so .env.local, runtime JSON, dist, and generated .codex files are not staged.","environment-config-reference: Keep Secrets Out Of Source","git status --short --ignored","Verify .codex/ is ignored; verify data/*.json and dist remain ignored; verify openspec artifacts and issues CSV are not ignored.","Existing ignore behavior for node_modules, dist, data runtime JSON, and *.local remains intact.","已完成","已完成","已完成","已提交","codex",".gitignore; git status --ignored","change:update-settings-boundaries; generated .codex from openspec init must stay untracked/ignored; validation:git diff --check passed; ignored:.codex/.env.local/data-json/dist confirmed"
"SET-03-01","P0","3. Settings Runtime Dashboard","frontend-types","Add frontend capability fallback helpers and taxonomy","Add frontend helpers for safe capability payload defaults and five-state taxonomy labels/details used by Settings.","capability-status-taxonomy: Define Five Capability States; capability-status-taxonomy: Map Unknown Status To Safe Status; degraded-mode-disclosure: Disclose Unknown Tooling Degradation","npm run typecheck","Verify helpers do not trust unknown statuses; verify labels cover all five states; verify old payload shape remains renderable.","Existing Settings stats for assets, directions, and history still render.","已完成","已完成","已完成","已提交","codex","components/settings/SettingsView.tsx; types.ts","change:update-settings-boundaries; validation:npm run typecheck passed; helper:safeCapabilityStatus and five-state copy added; fallback:unknown tooling stays context_only"
"SET-03-02","P0","3. Settings Runtime Dashboard","frontend-settings","Show full runtime dashboard in Settings","Update SettingsView to show backend, model, local JSON state, marketplace mode, import safety, and tooling summaries in a dense professional layout.","settings-status-dashboard: Show Runtime Summary Dashboard; settings-status-dashboard: Display Trust Boundaries Before Actions; capability-status-taxonomy: Define Five Capability States","npm run typecheck; browser settings manual check","Verify dashboard has no misleading connected/executable copy; verify loading and failed capability check states are visible.","Settings still shows asset/direction/history counts and state collection list.","未开始","未开始","未开始","未提交","codex","components/settings/SettingsView.tsx; components/ops/OpsPrimitives.tsx; components/ui/DesignSystem.tsx","change:update-settings-boundaries"
"SET-04-01","P1","4. Runtime Boundary Presentation","frontend-boundaries","Explain marketplace and external import execution boundaries","Add Settings copy that explains market and external-url MCP/SDK/Tool/Connector assets are not executable by default.","marketplace-runtime-boundary: Show Local Marketplace Mode; marketplace-runtime-boundary: Default Market Assets To Non-Executable; imported-asset-runtime-boundary: Surface Source-Based Safety Copy","npm run typecheck; manual imported asset detail check","Verify market mode says local-only; verify market/external-url executable-capable assets remain context/schema only.","Reference assets remain context assets without unnecessary execution warnings.","未开始","未开始","未开始","未提交","codex","components/settings/SettingsView.tsx; components/library/AssetLibraryCard.tsx; types.ts","change:update-settings-boundaries"
"SET-04-02","P1","4. Runtime Boundary Presentation","execution-gates","Add execution gate copy for unconnected tooling","Add copy that prevents unconnected tooling from appearing directly promotable to executable and explains future explicit confirmation requirements.","execution-confirmation-gate: Block Direct Executable Promotion; execution-confirmation-gate: Require Configuration Evidence; execution-confirmation-gate: Require Explicit Execution Confirmation","npm run typecheck; settings manual check","Verify no control can mark context_only/schema_ready as executable; verify connected is distinct from executable.","Run Lab missing-provider behavior remains compile preview.","未开始","未开始","未开始","未提交","codex","components/settings/SettingsView.tsx; backend/server.mjs; types.ts","change:update-settings-boundaries"
"SET-05-01","P2","5. State And Data Visibility","state-visibility","Expand state and data visibility in Settings","Expand Settings state collection and localStorage sections with primary backend JSON state, compatibility cache, and backup/import-export guidance.","state-collection-visibility: List Backend State Collections; state-collection-visibility: Show Local Storage Compatibility Keys; state-collection-visibility: Provide Data Import Export Entry","npm run typecheck; /api/capabilities/check state collections smoke","Verify all backend state collections are shown; verify compatibility keys are still listed; verify data backup guidance is local-only.","Existing localStorage key list is preserved.","未开始","未开始","未开始","未提交","codex","components/settings/SettingsView.tsx; backend/server.mjs","change:update-settings-boundaries"
"SET-06-01","P1","6. Degraded Mode Disclosure","degraded-mode","Show safe degraded copy for missing runtime capabilities","Ensure Settings displays safe degraded copy for missing GEMINI_API_KEY, missing backend response, unknown market state, and unknown tooling state.","degraded-mode-disclosure: Disclose Missing Provider Degradation; degraded-mode-disclosure: Disclose Missing Backend Degradation; degraded-mode-disclosure: Disclose Unknown Tooling Degradation; settings-status-dashboard: Provide Recovery-Oriented Status Copy","npm run typecheck; manual missing-key and backend-off check","Verify missing backend does not blank the whole page; verify missing key says compile preview; verify unknowns stay non-executable.","App can start without model key.","未开始","未开始","未开始","未提交","codex","components/settings/SettingsView.tsx; backend/server.mjs","change:update-settings-boundaries"
