"id","priority","phase","area","title","description","acceptance_criteria","test_mcp","review_initial_requirements","review_regression_requirements","dev_state","review_initial_state","review_regression_state","git_state","owner","refs","notes"
"RF-01-01","P0","1. State And Types","types-state","Extend feedback/evaluator/benchmark types","Extend patch/evaluator/benchmark types and backend state collections.","feedback-patch-targeting; evaluator-scoring; benchmark-run-records","npm run typecheck; state smoke","Types include target kind/status, evaluator result, benchmark run.","Existing patches/runs remain compatible.","已完成","已完成","已完成","已提交","codex","types.ts; backend/server.mjs; services/storage.ts","change:update-runlab-feedback-packs; validation:openspec strict passed; typecheck passed; build passed with vite chunk-size warning; state smoke passed"
"RF-01-02","P0","1. State And Types","hooks","Add evaluator and benchmark hooks","Add evaluator results and benchmark runs persistence hooks.","evaluator-scoring; benchmark-run-records","npm run typecheck","Hooks persist via backend state/local fallback.","Existing run hooks unaffected.","已完成","已完成","已完成","已提交","codex","hooks/useEvaluatorResults.ts; hooks/useBenchmarkRuns.ts","change:update-runlab-feedback-packs; validation:openspec strict passed; typecheck passed; build passed with vite chunk-size warning; state smoke passed"
"RF-02-01","P0","2. Run Lab Pack Comparison","runlab-targets","Add comparison target controls","Add comparison target controls for baseline, assets, and capability pack.","runlab-comparison-targets","npm run typecheck","Target controls drive selected variant assets.","Existing asset comparison still works.","已完成","已完成","已完成","已提交","codex","components/run-lab/RunLabWorkbench.tsx; App.tsx","change:update-runlab-feedback-packs; validation:openspec strict passed; typecheck passed; build passed with vite chunk-size warning; state smoke passed"
"RF-02-02","P0","2. Run Lab Pack Comparison","runlab-coverage","Add pack coverage display","Add capability pack coverage, missing slots, and runtime risk display.","runlab-pack-coverage; runlab-degraded-pack-preview","npm run typecheck","Pack count/coverage/missing/risk render.","Run Lab layout remains responsive.","已完成","已完成","已完成","已提交","codex","components/run-lab/RunLabWorkbench.tsx","change:update-runlab-feedback-packs; validation:openspec strict passed; typecheck passed; build passed with vite chunk-size warning; state smoke passed"
"RF-02-03","P0","2. Run Lab Pack Comparison","runlab-preview","Keep pack preview without key","Keep no-key pack comparison in explicit preview mode.","runlab-degraded-pack-preview","npm run typecheck","No-key mode shows missing_provider_config or preview-only state.","No false execution claims.","已完成","已完成","已完成","已提交","codex","components/run-lab/RunLabWorkbench.tsx; backend/server.mjs","change:update-runlab-feedback-packs; validation:openspec strict passed; typecheck passed; build passed with vite chunk-size warning; state smoke passed"
"RF-03-01","P1","3. Evaluator And Benchmark","evaluator","Add evaluator scoring context","Add evaluator scoring context and unavailable reasons.","evaluator-scoring","npm run typecheck","Evaluator dimensions/threshold/unavailable reason render.","No model-key scoring is not misrepresented.","已完成","已完成","已完成","已提交","codex","components/run-lab/RunLabWorkbench.tsx; hooks/useEvaluatorResults.ts","change:update-runlab-feedback-packs; validation:openspec strict passed; typecheck passed; build passed with vite chunk-size warning; state smoke passed"
"RF-03-02","P1","3. Evaluator And Benchmark","benchmark","Add benchmark save flow","Add benchmark save flow and recent benchmark records.","benchmark-run-records","npm run build","Benchmark records save and list.","Runs state remains compatible.","已完成","已完成","已完成","已提交","codex","components/run-lab/RunLabWorkbench.tsx; hooks/useBenchmarkRuns.ts","change:update-runlab-feedback-packs; validation:openspec strict passed; typecheck passed; build passed with vite chunk-size warning; state smoke passed"
"RF-04-01","P0","4. Feedback Pack Iteration","feedback-target","Add patch target kind/status UI","Add patch target kind/status handling in Feedback Ops.","feedback-patch-targeting; feedback-patch-status","npm run typecheck","Feedback UI can mark asset/pack targets and statuses.","Existing asset patch cards still render.","已完成","已完成","已完成","已提交","codex","components/feedback/FeedbackWorkbench.tsx; types.ts","change:update-runlab-feedback-packs; validation:openspec strict passed; typecheck passed; build passed with vite chunk-size warning; state smoke passed"
"RF-04-02","P0","4. Feedback Pack Iteration","asset-patch","Apply asset patches with metadata","Apply accepted asset patches with version/source metadata.","feedback-asset-patch-application","npm run typecheck","Accepted asset patches update version/source and status.","Existing apply API remains usable.","已完成","已完成","已完成","已提交","codex","components/feedback/FeedbackWorkbench.tsx; services/assetPatches.ts","change:update-runlab-feedback-packs; validation:openspec strict passed; typecheck passed; build passed with vite chunk-size warning; state smoke passed"
"RF-04-03","P0","4. Feedback Pack Iteration","pack-patch","Apply capability pack patches","Apply accepted capability pack patches and refresh pack quality.","feedback-pack-patch-application","npm run typecheck","Accepted pack patches update quality/missing state.","Capability pack one-click remains intact.","已完成","已完成","已完成","已提交","codex","components/feedback/FeedbackWorkbench.tsx; services/capabilityPacks.ts","change:update-runlab-feedback-packs; validation:openspec strict passed; typecheck passed; build passed with vite chunk-size warning; state smoke passed"
"RF-04-04","P1","4. Feedback Pack Iteration","patch-status","Persist rejected/snoozed status","Persist rejected and snoozed patch status.","feedback-patch-status","npm run typecheck","Reject/later status remains stored.","Patch queue remains filterable.","已完成","已完成","已完成","已提交","codex","components/feedback/FeedbackWorkbench.tsx; hooks/useAssetPatches.ts","change:update-runlab-feedback-packs; validation:openspec strict passed; typecheck passed; build passed with vite chunk-size warning; state smoke passed"
"RF-05-01","P0","5. Validation","validation","Run final runlab feedback validation","Run OpenSpec validate, typecheck, build, state smoke, and update CSV.","All update-runlab-feedback-packs specs validated.","openspec validate; npm run typecheck; npm run build; state smoke","CSV complete and committed.","001-007 changes remain valid.","已完成","已完成","已完成","已提交","codex","openspec/changes/update-runlab-feedback-packs; issues CSV","change:update-runlab-feedback-packs; validation:openspec strict passed; typecheck passed; build passed with vite chunk-size warning; state smoke passed"
